ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques
17966,simple,,,"Bd micro-fine plus seringue insuline 0.5ml sachets de 10 pcs",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,18.60,27.90,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Bd-micro-fine-plus-seringue-insuline-0.5ml-sachets-de-10-pcs.webp,,,,,,,,,0,Bd
17967,simple,,,"Bd micro-fine plus seringue insuline 1ml Sachets de 10pcs",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,18.60,27.90,"Santé & Bien être > Premiers secours, Santé & Bien être",,,https://paralbl.ma/wp-content/uploads/2026/03/Bd-micro-fine-plus-seringue-insuline-1ml-Sachets-de-10pcs.webp,,,,,,,,,0,Bd
17968,simple,,,"Beauty of Josean Calming Serum Green Tea+Panthenol 30ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,239.00,358.50,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-of-Josean-Calming-Serum-Green-TeaPanthenol-30ml.webp,,,,,,,,,0,"Beauty of joeson"
17969,simple,,,"Beauty Of Joseon Apricot Blossom Peeling Gel 100ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,199.00,298.50,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Apricot-Blossom-Peeling-Gel-100ml.jpg,,,,,,,,,0,"Beauty of joeson"
17970,simple,,,"Beauty Of Joseon Dynasty Cream 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,309.00,463.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Dynasty-Cream-50ml.jpg,,,,,,,,,0,"Beauty of joeson"
17971,simple,,,"Beauty Of Joseon Ginseng Cleansing Oil 210ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,259.00,388.50,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Ginseng-Cleansing-Oil-210ml.png,,,,,,,,,0,"Beauty of joeson"
17972,simple,,,"Beauty Of Joseon Ginseng Essence Water 150ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,259.00,388.50,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Ginseng-Essence-Water-150ml.jpg,,,,,,,,,0,"Beauty of joeson"
17973,simple,,,"Beauty Of Joseon Ginseng Moist Sun Serum spf50+ PA++++ 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,259.00,388.50,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Ginseng-Moist-Sun-Serum-spf50-PA-50ml.webp,,,,,,,,,0,"Beauty of joeson"
17974,simple,,,"Beauty Of Joseon Glow Deep Serum Rice+Alpha-Arbutin 30ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,239.10,358.65,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Glow-Deep-Serum-RiceAlpha-Arbutin-30ml.jpg,,,,,,,,,0,"Beauty of joeson"
17975,simple,,,"Beauty Of Joseon Glow Replenishing rice milk",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,259.00,388.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Beauty-Of-Joseon-Glow-Replenishing-rice-milk.jpg,,,,,,,,,0,"Beauty of joeson"
